"title","id","year"
"Learning urban cellular automata in a real world: The case study of Rome metropolitan area","14710182313307448189",1998,model
"Agent-based modeling of urban land-use development, case study: Simulating future scenarios of Qazvin city","15317119753847835024",2013,model
"Revisiting the structuring effect of transportation infrastructure: an empirical approach with the French Railway Network from 1860 to 1910","17044891930338317067",2018,empirical
"V-BUDEM: a vector-based Beijing urban development model for simulating urban growth","10696709274553946049",2015,model
" Modelling deforestation in dzalanyama forest reserve, Lilongwe, Malawi: using multi-agent simulation approach","8554253378401626792",2013,,model
"Challenges, tasks, and opportunities in modeling agent-based complex systems","469068415106163576",2021,theory
"Can modelling enable us to understand the rôle of humans in landscape evolution?","480879001045677395",2008,theory
" Analysis of urban growth and sprawl from remote sensing data","5774506474328398085",2010,empirical
"La recherche d'informations sur internet par des lycéens","16516466693865575385",2001,empirical
" GEOCOMPUTATlON","16454157933855525164",NA,NA
" How to conduct more systematic reviews of agent-based models and foster theory development-Taking stock and looking ahead","1880648926924395636",2024,theory
"A century of the evolution of the urban area in Shenyang, China","17019080264930767106",2014,empirical
"A multi-agent model system for land-use change simulation","12063748607572551306",2013,model
"Complexity, emergence and cellular urban models: lessons learned from applying SLEUTH to two Portuguese metropolitan areas","8442039958824552142",2005,model
" Calibration of agent-based models in ecological economics","6472641619548955068",2010,method
"A review of geospatial-based urban growth models and modelling initiatives","17286159793659814131",2017,theory
"Conceptualising the analysis of socio-ecological systems through ecosystem services and agent-based modelling","4256359218878556598",2011,theory
"The socio-spatial dynamics of systems of cities and innovation processes: a multi-level model","484546251878757817",2008,model
"Les logiques territoriales des «mondes de production» de petites villes. Vers une lecture renouvelée des centralités?","5022527878014421999",2019,theory
" Representing complex evolving spatial networks: Geographic network automata","12176378196632414336",2020,model
"The old and the new: qualifying city systems in the world with classical models and new data","2390496923395349921",2017,data
"Cities' systems and networks' proximities: toward a multiplex approach","9091746549508537388",2022,theory
"Spatial interactions in agent-based modeling","3549680318135007365",2015,model
"Modelling land use using demographic forecasting and local optimisation: A case study of general education provision in Riyadh, Saudi Arabia","5642501072224373553",2023,model
" Simulación del crecimiento urbano y modelos basados en autómatas celulares: el uso de parcelas catastrales vectoriales a partir de la teoría de grafos","2192363137512164835",2015,model
"Development of a Complex Network‐Based Integrated Multilayer Urban Growth and Optimisation Model for an Efficient Urban Traffic Network","13706826083819467472",2021,model
"Representing human decision‐making in environmental modelling","4676390469972346046",2013,model
"Mapping urban growth and development as continuous fields in space and time","1719399030588532396",2014,model
"Mesa-Geo: A GIS extension for the Mesa agent-based modeling framework in python","9399786260538554612",2022,tool
" The Belle Époque of the railways: the Freycinet plan and its effects on the French population and economy","15636133936251647006",2020,empirical
"Agent-based evacuation simulation for building structure evaluation","14721528853432991319",2009,model
" Core principles and concepts in land-use modelling: A literature review","1854047568883778246",2011,theory
"Land-use-change modeling using unbalanced support-vector machines","13845784208989287461",2009,model
"15. Thom's catastrophe theory and Turing's morphogenesis for urban growth modelling","16491510704010722667",2021,model
"Multi-agent systems for simulating spatial decision behaviors and land-use dynamics","1889911859184626540",2006,model
" Modeling non-stationary urban growth: The SPRAWL model and the ecological impacts of development","16515688215769082351",2018,model
" Modélographie multi-agents de la simulation des interactions sociétés-environnement et de l'émergence des villes","6300820884612989982",2013,theory
"Modélisation d'une activité agricole à fort impact environnemental en zone côtière","17271165730743355430",2006,model
"Modéliser des systèmes de peuplement en interdisciplinarité: co-construction et exploration visuelle d'un modèle de simulation","4423683242529327548",2020,method
" Land use/land cover change modelling: issues and challenges","6172066116759283063",2018,theory
" The resilience of the city of Dublin to flooding: From theory to practice","11715380420160129923",2019,theory
"From networks of cities to systems of cities","1622706346525894218",2021,theory
" 基于矢量的城市扩张多智能体模拟","12687886140050738043",2014,NA
"From land cover change to land function dynamics: A major challenge to improve land characterization","8186174982700565690",2009,method
"Subjectivity versus objectivity: comparative study between brute force method and genetic algorithm for calibrating the SLEUTH urban growth model","16078591977141973997",2016,method
"Demographic and functional changes in territories with primary activities.: The case of the Maule Region, Chile","12361053222232527333",2021,empirical
"Multi-agent simulations of residential dynamics in the city","15553149730525918886",1998,model
" Análisis y diseño de la ciudad compleja","12674043875642225646",2010,theory
" Extending the concept of city for delineating large urban regions (LUR) for the cities of the world","5632323088965239636",2020,theory
" Las villas gallegas: concepto y realidad","11169048420397718121",2019,theory
" 'Pulsing'cities and 'swarming'metropolises: A simplified, entropy-based approach to long-term urban development","10821603883261413461",2022,model
"Clarity versus complexity: Land-use modeling as a practical tool for decision-makers","2393445121837364575",2013,model
"Using agent-based modelling for small area household projections: a New Zealand case study","4995627061206271097",2016,model
"Reactive Transport Modeling","12712450851829655685",NA,model
" KXSDSSES: A GIS-Based Spatial Decision Support System for Emergency Services: London's King's Cross Redevelopment","870622575612911987",NA,model
"A typology for characterizing human action in multisector dynamics models","3146602096578313551",2022,method
"城市化: 相变与自组织临界性","2953078878308747676",2004,NA
"Effondrement, résistances et transformations de l'emploi textile dans les villes françaises des années 1960 aux années 2010","1631289013219292544",2019,empirical
"An evolutionary theory of urban systems","5378070978405246187",2018,theory
"Spatial Analysis of the Land Use Mechanism in Urban Renewal Areas: A Case Study in Hong Kong","3908189451119103282",2014,empirical
"Complexity and cellular automaton: exploring its practical application","1957045437370689105",2016,model
" Application of cellular automata and GIS techniques in urban growth modelling: A new perspective","13280150356231452949",2010,model
"Quelles dynamiques pour les petites villes en Europe? Une étude comparée Saxe-Bretagne (1990-2015)","13288345655922513001",2019,empirical
"Trajectoires d'intégration des villes françaises dans les réseaux économiques et financiers des firmes transnationales étrangères","16525008803069118534",2017,empirical
